,userName,content,score
171,IL - Kun,"Sejauh ini cukup puas dengan game ini, untuk masukan pada menu spiral abyss tolong ditambah fitur untuk mengatur kit/build karakter agar player tidak perlu untuk keluar menu spiral abyss untuk mengganti build dari karakter. Overall mantap Hoyoverse 👍🏻👍🏻👍🏻",5
172,Padang Padang,"Game nya bagus, grafiknya juga,cuma harap memo nya dikurangin karena ini menghabiskan banyak sekali memo.saya sempat menghapus data-data saya karena ingin memainkan ini,kasihan untuk orang yg ingin memainkan game ini tetapi tidak bisa karena penyimpanan nya yg terlalu banyak dan ram hp mereka 3gb atau kurang juga lebih.harap dikurangi penyimpanan nya ya developer",3
173,Clarissa,"Tolong nih ya, aku tuh masih mau main ni game tapi memori ku bisa"" habis cuma gara gara game ini, g bisa di kecil in dikit gitu? Kalo kaya gini terus aku g bisa main game ini lagi walau aku masih mau lanjut. Sama belakangan ini sering nge lag"" sendiri padahal jaringan ku baik T.T",4
174,Hanif Ihsan,"Aku ingin menyarankan kalian untuk menambahkan inverse kinematics physics didalam game, seperti di honkai star rail. Sepertinya itu akan terlihat bagus. Dan sepertinya itu bukan hal sulit kan? 😀",5
175,RIN,Thank you for accompanying me all this time 😇 see you next time Tolong ya kalo bisa di kurangi ukuran datanya Jujur saya kurang tau tentang gituan tapi update 4.0 ini membuat banyak player yang berhenti main karena ukuran datanya terlalu besar bagi sebagian orang termasuk saya. Sebenarnya saya tidak bermaksud menyindir/lainnya tapi hoyovers hanya memikirkan player yang ber duit saja. Bagi orang-orang yang sudah main cukup lama Terpaksa harus berhenti main seperti saya ini Sangat tidak adil🙏,5
176,Fadhil MF,"ini mobile game open world terkeren yg pernah saya mainkan. tp makin kesini, beberapa puzzlenya makin tidak masuk akal, awalnya main game seru dan menyenangkan, skrg malah jd pening. kalo gini terus mgkn bakalan jd jarang mainin game ini",2
177,ᴀᴅʀɪᴀɴᴅᴏ ɢ.ᴘ,"Ini alasan kenapa genshin jarang di minati, karena untuk player baru cukup sulit untuk mendapatkan karakter utama yang ada di banner.. gw dah nge rerol 9 kali hari ini dan benar saja dari semua akun rerol itu dapatnya ampas semua padahal gacha dah lebih dari 30 kali, kalau kayak gini terus bisa"" game genshin benar benar kurang di minati.. sebelumnya gw dah komplain tentang rate gachanya tapi ya begitulah gak ada tanggapan.. dan kali ini gw coba lagi apakah ada tanggapan.. sekian",1
178,Ridzz?,"Mohon maaf nih saya kasih Bintang 3, karna saya mau komplain, saya player baru dan mainnya jg make hp yg benar² speknya udah bagus main genshin di rata tengah (Menengah Dan Tinggi) tapi knpa saya hanya bisa main di grafik Rendah Itupun Lag dan tidak ada rumputnya? Ya? Pdhl Teman Saya Yg Memakai Handphone Dengan Spek Kurang (Cuma Bisa Di Grafik Rendah) Tapi Bisa Main Di Grafik Rata Tengah + Tidak Lag dan ada rumputnya? Mohon dibaikin ya min, soalnya saya main jg untuk melepaskan stress saya🙏😁",3
179,Yuu,"Gacha sistem terbaik, pasti ada jaminan apabila kalah 50/50, bisa dibawa sampai ke banner selanjutnya. gk ada time limit utk currency gacha gk jelas. pokoknya nice experience buat gameplay & gachanya. [tambahan] update 3.3 optimasi kurang, fps drop. [update 4.0] nice archon quest, bagus.",5
180,Perspektif Kopi,Saya kasih 4 bintang karena kalau ganti servernya semua datanya akan hilang. Developer genshin impact tolong gantikan ini menjadi tidak akan hilang datanya. Kalau tidak hilang datanya akan saya kasih 5 bintang.,4
181,aphrodite jacqueline,"Mengapa skrg sy tdk bisa msuk ke game pdhl sblmnya bisa dan sy coba buat yg baru bisa msuk tp yg lama tdk , layar hitam lalu loading lama dan game keluar .Mohon beri sy masukan agar game mejadi benar🙏🏻",3
182,Z Lite,"Saya suka desain Fontaine tapi belum mulai alur cerita jadi cuma berharap semoga kayak alur cerita mondstadt, gamenya berat banget, fitur semoga diperbanyak*, Karakter op diperbanyak. * +Android semoga ada opsi fps lebih tinggi",4
183,Rofiq Rozali,"The best game ini, kurang nya cuma di harga gacha yang mahal (terkesan scam bahkan), tapi overall game nya sangat memuaskan ... Hanya saja saya berharap di tambahkan vitur open mic sehingga pengalaman dalam mode coop akan lebih meyenangkan... Thank you deplover",5
184,Eddi Herdiana,"Tolong di perbaiki controller buat di Android Tablet, karna saya tidak bisa menggunakan stik wirelless PS4 seperti di iphone langsung konek dan ter setting otomatis :)",3
185,[KRMB] BENZEMA,"game terlama yang saya mainkan...sekalipun semuanya harus serba maksimal,mulai dari device,ram n rom hp dan koneksi internet yang serba maksimal..terbayar lunas ketika memainkannya..",5
186,Zenyx Channel,"Saya pensi di 4.0, game yg sangat menarik tapi sayang size nya memakan terlalu banyak tempat Hp saya udah gk punya storage buat main di fountaine saya coba main. Genshin Impact cloud tapi servernya selalu penuh, saya udah masuk antrian udah nunggu sekian lama di subuh hari, tapi akhirnya malah gk masuk Terimakasih genshin Impact dan selamat tinggal paimon",3
187,Aripuddin,"Game nya bagus si, cuman versi Update terbarunya banyak sekali dan sudah 90% malah tiba-tiba kembali lagi ke 50% totalnya 38 dan mungkin bisa sampai 40 gb ini klw selesai update datanya ini",3
188,Irfan Farhan,"Terima kasih untuk gamenya 🙃👎, jadi pengen uninstal. Ni game sangad tydack ramah penyimpanan,. Pas update ukurannya 306mb, pas masuk di suruh download data lagi sebesar 10gb. Selalu gitu berulang terus tiap x update. Kasian sama player yang pakai paket data. Dpt char susah slalu ampas terus, Jadi wajib di tandai kalo game buatan mihoyo gak bagus.",1
189,Ficky Febriadi,"Untuk saat ini game terbaik, dari segi grafik, cerita, karakter, dan gameplay. Masih blm bisa ada yg ngalahin sejauh ini.",5
190,KNGSAYT Gaming,Halo. Ini game saya mengharapkan ada penambahan fitur fast eat food untuk versi mobile. Karena waktu Hp rendah tidak perlu membuka tas untuk memakan buff/heal. Ini saja harapan saya untuk update kedepannya. Terimakasih KNGSAYT,5
191,ACIL02 GAMING,Hai untuk game nya bagus dan untuk berpetualang juga oke tapi ada satu hal yang sayang banget yaitu gaak ada pengisi suara Indonesia nya mohon masukan nya untuk developer genshin Impact terima kasih,5
192,Devin Hubert,Game ini memang sangat bagus untuk dimainkan grafiknya pun cukup bagus tapi masalahnya performanya pass main agak nge frame tolong di perbaikan bahkan cepat menguras baterai di banding game lain,4
193,Fadli Rohim,Ayo klean yg masih ngeluh penyimpanan mending ganti Hp ke yg 8/128 🤣 klo soal kalean yg minta data dikompres ya mana bisa 🙂 emg lu pada mau buka region baru yg total misal 32Gb jdi 20Gb tpi tempatnya burik? Bisa jdi kecil asal lu pada nge speedrun ke story archon yg baru di Fontaine ntar di pengaturan ada bwt hapus cerita story yg udh lu kelarin sebelum-sebelumnya. Semangat yg mau nyari duit buat beli Hp baru biar bisa maen 😁,5
194,Myy Dika,"Game luarrrrbiasaa 😍 dari segi grafik jalan cerita dan character yang sangat menarik, harapan saya sebagai player free to play semoga makin banyak event gratisan yang bisa membuat player free to play menjadi senang dan itu saja yang mau saya sampaikan 🥰🤗",5
195,Anang Mario,Story dan grafik bagus sekali. Untuk update berikutnya kalau bisa voice Indonesia bisa ditambahkan. Agar para dubber indonesia dapat ikut bersaing dengan industri pekerjaan mereka. Terimakasih,5
196,Adolf Bonaparte,"Gamenya bagus,ceritanya juga lumayan.Tapi mohon sistem keamanannya diperbagus.Karena kasian bagi pemula yang baru main gak tau apa2.Aku harap cepat diperbaiki.Terima kasih banyak😁🙏🏻",5
197,Dadan Ramdhani,"Gemnya bagus sampai saya ketagihan main mulu, dan lagi minimal kalou gaca itu kasih yang bagus gituh inimah saya gaca 120 kali menangnya barang jelek mulu kasih yang bagus lah . sama jaringan suka naik tiba-tiba saat lagi war sama musuh itu keluhan saya. kalou soal gemnya berat sih ga ngaruh itu doang terima kasih",5
198,Nurul Aini,"Kenapa ya abis update versi baru tiap mau log in harus unduh data, verifikasi berkas, memuat data, Biasanya 1 x aja udah...jadi lamaa bgt mau main juga...",4
199,Bread Badtime,"Halo Hoyoverse! Saya sebagai warga orang Indonesia, sangat kagum sama game yang Anda buat yaitu ""Genshin Impact"", apalagi game nya bener bener seru ditambah lagi dengan grafik, style, story, dan fitur, itu udah cukup atau udah oke lah untuk genshin ini, apalagi sekarang ke versi 4.0 yang dimana ada area baru yang ditunggu tunggu para fans, yaitu fontaine :D, dan ya, aku cuman bisa bilang "" Keren dan mantap"" Buat Hoyoverse :). Semoga kedepannya lebih bagus dan lebih maju! -Traveler-",5
200,DIMAS KHALEEDAZIA ABITANTO,"Menurut saya dari segi grafik, story, gameplay, scene sudah sangat bagus sekali. Hanya saja jika hoyoverse berkenan, mohon untuk ditambahkan sedikit fitur gift item/character dan on mic agar lebih seru saat memainkannya. Mohon untuk dipertimbangkan kembali 🙏🏼",5
201,Indira Zahrani nurizkhitha,tolong dong update Tambahin hadiah Ar masa cuma sampai 60 terus kembangkan karakter yang jarang orang pakai lebih di buff lagi supaya kesenjangan antara karakter tidak terlalu besar kalo bisa ehem fitur skip percakapan dong kadang jaringan hilang bentar percakapan diulang dong mana panjang betul,3
202,PRNU Japlor,"Grafiknya bagus,storynya apalagi🗿 Banyak eventnya dan Mayan primonya,cuman tetep kurang:v Semoga banyakin lagi eventnya atau hadiahnya hehe🗿🙏.trus story pas update gantung dan bikin kepo,jadi agak kesel dikit:'v",5
203,Adinda Dwi Prastika,"Game paling nyaman kalo buat dimainin pas waktu senggang. Gak fokus ke main story aja kita bisa ambil side quest yang juga gak kalah seru. Grafiknya indah, soundtracknya bikin mendalami game, worth it banget. Update : udah main selama 2 tahun, meski sempet brenti beberapa bulan sekarang main lagi. On the way AR 59 (Albedo main)",5
204,Epanza Wirawan,"Wahai developer, berikan kami banyak barang gratis lagi. Game ini sudah sangat bagus, hanya tinggal dipermurah saja untuk gacha eventnya.",5
205,Elga Saputra,"Sangat bertrimakasih, saya player baru dan belum dapat karakter B5, saya sudah top up dan bermain dengan rajin agar dapat banyak primo, tapi kenapa saya sudah hard pity sampe 80 kali malah dapetnya tighnari padahal saya belum pernah dapat B5, padahal saya sudah menunggu zhong li tapi kenapa malah dapat tighnari, mihoyo please lah jangan gitu lagi saya kecewa main sampe gak tidur demi zhong li malah dapetnya tighnari.",1
206,Ravil__,"Kok waktu update di playstore gak bisa bisa ya?, penyimpanan udah cukup, jaringan udah lancar, kok masih gak bisa ya? Mohon diperbaiki",4
207,Kevin Ahmad Fahrezy,"Tambahkan mode luring, agar kita bisa bermain game nya saat koneksi buruk, game online lainnya sudah banyak yang menerapkan mode luring, genshin impact kapan?",1
208,T. M. Harqad,"Visual grafis memanjakan mata, efek visual juga terlihat alami. Enak untuk menghabiskan waktu walau gabut di game ga ngapa-ngapain.",5
209,Ronal Dinho,"Alasan mengapa game ini di anak tiri kan 1.sistem resin yang mirip dengan honkai star Rail tapi lebih sedikit dan ketika penuh di honkai star Rail bisa di simpan, 2.sistem gacha yang terlalu berlebihan bahkan sampai ke artefak nya pun gacha lagi lagi beda sama honkai star Rail, 3.story yang bikin ngantuk terlalu membosankan dan tanpa bumbu bumbu ""dark, plot twist yang mencengangkan, dll"" Seperti story pada game anak kecil, 4.hadiah yang jauh lebih sedikit di bandingkan.. Yak lagi lagi honkai.",1
210,Alpheratz,Genshin impact di poco m4 pro sudah tidak dapat dimainkan lagi secara smooth. 30 fps saja tidak terasa nyaman untuk di mainkan. Sebaiknya up ke poco f4 f4 gt f5,5
211,Skeleton Visit,"Dari dulu game ini nggak pernah ngebosenin, walaupun updatenya lama, gw masih puas sama update-update yang diberikan, karakter dan grafisnya pun sangat bagus dan unik, memang the best lah game ini.",5
212,Indra Ramadhan,"Gamenya bagus cuman untuk endgame konten merasa sangat membosankan, progres gamenya juga terasa lamban karena update yang dilakukan terlalu lama.",4
213,Fachrull Maulana,"Game RPG adventure yang paling aku suka dari segi grafik, gameplay, character, event, dan story sudah bagus banget. Saran dari aku buat developer, tolong kasih fitur ""replay cutscene quest"" yang dimana nanti kita bisa lihat lagi cutscene misi² yg sudah kita jalani. Lalu perbaiki masalah jaringan ping nya juga, aku main jaringan nya selalu kuning di atas 90mbps. Selebihnya sudah bagus, terima kasih developer!",5
214,Imanuel Nico Petrus,"Overall gw main dari Oktober 2020 sangat terpuaskan dengan grafik, story, karakter, gameplay, voice acting, dll. Tapi gw mewakili sebagian besar player memohon buat disesuaikan lagi game nya untuk player yang device nya kurang mumpuni. Biar bisa tetap bermain sampai pada akhir konten. Sama tolong disesuaikan Stat yang bagus untuk player yang komplain karena mendapat artefak dengan stat ampas. Terima kasih",5
215,FHIS LEAZ,"Dari segi grafik, gameplay, cerita, character, dll oke Tapi masalah fitur masih kurang, karena saya menemukan fitur bernama ""tombol"" di setting yang tidak berguna dan kosong. Dan agar tombol itu berguna saya sarankan kedepannya tambahkan fitur gamepad/keyboard pada versi mobile agar fitur ""tombol"" pada setting lebih berguna kedepannya. Dan ya hanya itu saran saya karena semuanya selain fitur itu sudah sangat sempurna dan saya suka dengan game nya",5
216,Aisyah,"Menurut saya,game nya,grafik,karakter design semuanya udh bgs tp.. mihoyo/hoyoverse tolong resin yg tdnya 160/160 di naikin lg.. + Utk nge farming/ mendapatkan primogems lebih gampang",5
217,Suranto,tolong segeralah di perbaiki soal bug ga bisa login dikarenan terlalu banyak permintaan login .karena ya wajar kalo salah ketik saat login ataupun banyak yg coba login karena memang game yg main rame .tolong lah segera di perbiki pihak hoyolab ataupun itu lah,1
218,PrizenPraiz,"Bug nya sudah diperbaiki, terima kasih karna sudah diperbaiki, dan doakan saya semoga bisa mendapatkan sign HuTao dan juga C1 nya, hehe😁",5
219,Said Ahmad,Mau nanya gengs apa ad yg sama kayak aku ya genshin nya Ter reset ke level 1 ...udah lama GK maen terus download lagi yg tadinya lvl 20 lebih kok malah balik ke lvl 1 rank adventure nya mohon pencerahan nya min dan teman²,1
220,Riztia Hdi,"Game nya bagus cuman sayang nya gw punya akun yg ke bind satu email nah email itu udh ga bisa login alias lupa pw, nah tolong dong hoyoverse cara atasin nya gimana, mau ganti email harus verif akun email sebelum nya soal nya",4
221,AMINUDIN,Game nya bagus dan juga seru tapi mohon maaf buat develover genshin impact mohon diperkecil untuk ukuran penyimpanannya dikarenakan banyak player genshin impact yang sudah tidak bermain lagi dikarenakan penyimpanan yang genshin impact gunakan itu terlalu besar selain itu semuanya bagus cuman itu saja semoga bisa diperkecil untuk penyimpanannya,5
222,abok abok,"Gamenya asik tapi horror. Seharusnya ga di bikin mobile yah, cuma di khususkan buat pc .. int 128 aja masih susah"" juga ditambah updaten yang akan datng nanti waduhh .. ini dev hoyo keknya bukan mengundang peminat tapi mengundang para player buat pensi wkwkwkwkwkw",1
223,Noob Game,Tolong kurangi sebuah teka teki. Sungguh buat saya pusing di kepala. Buat lah quest bertarung dengan monster sperti kalahkan monster 30 . Kita bermain untuk senang2 dan jika permainan banyak teka teki sungguh buat kami menderita,4
224,indon exia,"Game yang tidak terlalu ngoyo, bisa dimainkan dengan santai diwaktu senggang. Grafis keren (device mendukung ya) memanjakan mata, dengan beragam aktifitas game yang bisa dipilih mau bertarung, farming, building, mancing, keluyuran bisa hehe. Moga yang main di level 60 diberi hadiah dapet karakter B5 dengan mudah,,rate on terussss",5
225,Gilang Maulana,Game terkeren yang pernah aku mainkan. Tapi kalo bisa tambahkan juga fitur on mic nya ya hoyo biar main ga perlu ngetik!,5
226,ARRAUL12,"Lumayan lah game nya dari segi character, visual, cerita, semuanya bagus... Tapii tolonglah untuk welkin diturunin harga nya kami sebagai player f2p sedikit kesusahan,, karena butuh banyak waktu untuk grading dan pasti banyak orang yg tidak punya banyak waktu.",5
227,Infinix Lahat,"Sama game nya atau ukuran game sh ga masalah cuma kuota gua abis gara""download data doang, lah gw download data ml atau pubg ga sampe abis 5gb lah download data ini sampe 50gb gw abis mana gw termasuk orang ga mampu, ya tolong di pertimbangkan lah hoyo",3
228,M. Fauzan.A.I,Walaupun seru gamenya tapi sayang buat gacha nya apes banget..terlalu susah buat dapetin b5. Ngumpulin diamond buat gacha nya juga lama jdi itu yg buat agak ngebosenin sih menurut gua.,3
229,Widzz King,"Mau dilihat dari segi mana pun, menurut gw nih game,game ter pelit sih.ngumpulin resin lama,farm arte pake resin farm material buat talent juga pake resin,giliran farm dikasih material ampas mulu.sekalinya dapet arte yang diincer ehh statnya yang ampas.mau bikin perfect satu karakter aja susah banget apa lagi satu party.game bakar duit sih,target pasar emang bukan player f2p kek gua",1
230,KHABSS Linda,"Segi apapun bagussss, kecuali update yang terlalu besar, ada bbrpa fitur yg sebenarnya ga perlu diubah tapi malah diubah",4
231,Patur Rohman,"Recomend bagi penyuka game openworld, dan di harapkan ketika game aniversarry dikasih sesuatu yang bagus lah wkwkwk, meskipun gua tahu GI kalau aniversarry itu pelitnya minta ampun, kalah ama adeknya yang baru, tpi banyak bansos.. Kalau pingin para player tetap semangat main",5
232,Nadia Fatiha,Bagus banget game nya ini game gw di hp baru ku ceritanya bagus dan paimon nya imut banget🥰 tapi misinya rada gampang² susah tapi ujung² udh di tamatin jujurly dibanding game rpg lain ini yg pling bagus yg lain kayak rame gtu dan aneh² jdi gw download game ini bnyk bilang bgus😁,5
233,Thoriq Tamvan,"Keren sih, dari grafik yang bisa dicustom gw suka banget, dan battle animasi nya udah keren banget, apa lagi waktu jelajah terus ke bukit/gunung yang tinggi, itu waktu liat pemandangannya behhh.... Keren parah dan indah banget, btw gw main di hp xiaomi redmi 5 plus🗿😁",5
234,Rachel Tobing,Gamenya sangat realistis dan quest storynya juga lumayan susah banget ya dengan quest archon dainself dengan lacak abyys gitu di liyue itu lumayan susah btw aku lagi incar ke inazuma ya ges jadi juga garfiknya luar biasa dan juga kota fontainenya kayak di swiss/prancis gitu pokoknya indah banget klo soal fontaine ya dan juga sumeru btw besar bgt mapnya ya😅 aku merekomendasi dengan sumeru ini kagak masuk akal mapnya. Apa coba cuman hutan² gk jls sma desertnya gitu² aj kagak modal gitu loh.,4
235,Aldeo Octoreza,"Game yang sangat keren,mulai dari quest hingga story yang sangat kompleks yang disajikan di dalam game ini,lalu dengan grafik yang luar biasa indahnya sehingga mata enak ngeliat grafiknya,tampilan karakter dengan desain yang sangat bagus dan dengan cerita masing masing karakter,pokoknya wajar sih game 20 gb an sebagus ini mulai dari story yang kompleks,desaign karakter yang keren dan grafik yang memanjakan mata.Yang hpnya spek dewa wajib downlowd ni game",5
236,Fahris h,"Game terbaik cocok buat yang sibuk kerja karena gamenya tidak game kompetitif, durasi event lama sama quest bisa dikerjain pas libur kerja, daily bisa dikerjain pas pulang kerja gak perlu waktu banyak hehe, mantap pokoknya daripada main game kompetitif cuma dapat toxic sama stres mikir rank akwoakwo",5
237,Rendy Kurniawan,Game nya sangat bagus dan gravik nya bagus kalo boleh kusaranin ada pilihan data untuk di download sebelum masuk ke game nya kasian untuk yang punya hp di bawah ram 4/3gb.,4
238,Agim Muhamad,"Kenapa sih kalo login lagi karena baru main lagi pasti reset akunya,padahal udah banyak misi yg beres kan kalo reset mah jadi ga seru ,cape ngulang terus dari awal mah ,kenapa juga gk langsung aja ke save gitu jadi kalo apk nya di copot trus ntar pengen download lagi pas login ya nerusin aja udah sejauh mananya jangan reset Mulu 😭🗿",3
239,Yasinta Mui,"Overall keren batt... Paling suka pemandangan+musik.. Tapi semuanya si.. Minusnya yaa, di penyimpanan, kadang suka ngelag, dan loading lama, pas event pake timer malah ngelag, kadang musuh ga muncul di domain / event sedangkan waktunya jalan terus, and please artifact kebanyakan sampah berbaik hati lah sikit buat kami yg cape farming berbulan"" ni T-T,but i love this game fr.",3
240,Agung Satriawan,"Untuk bagian grafis udah bagus walau paling rendah, gameplay nya juga bagus, event nya keren dan bagus, tapi masih ada bug yg merugikan",4
241,Tanjung Tabalong,Saya senang sudah mendownload game ini meskipun berat untuk mendownload nya ada yang membuat saya menunggu lumayan waktu di game ini karena saat menunggu loading saat pertama join menunggu loading nya lama jadi membutuhkan waktu yang lama itu saja yang saya ingin sampaikan semoga dibaca sama pembuatnya.,4
242,Tiara 14,"Sejauh ini main Ganshin nggak ada keluhan sama sekali mulai dari grafik, story' and setiap misi mempunyai ratiing tersendiri namun menyenangkan saat di mainkan. Kalau pun ada yang perlu di keluhkan mungkin peng update an terbaru yang mengambil banyak penyimpanan. Semoga up selanjutnya penyimpanan untuk data diringankan agar para player dapat bermain Tampa mengeluhkan penyimpanan mereka...",5
243,Zizz Nst,Udah 4 bulan farming artefak satu pun gak ada yang bagus gw dapet padahal character banyak cuma dikit yg sudah ready artefaknya dan untuk condense maks cuma 5 doang kalo bisa dibuat tidak terbatas biar bisa spam tu domain artefak sampe bosan gw dapet artefak stats HP dan DEF.,2
244,Mahesa Argo seto,"Menurut gw ini salah satu game terbaik di playstore. Grafik nya bagus, kombatnya bagus, storynya bagus, karakternya bagus, semuanya bagus. Gak salah kalau mau main game ini.",5
245,Febriyan Hartanto,Tolong dong mihoyo berbaiki server Asianya soalnya jaringan stabil atau aman tidak ada lag kok sering menghubungkan kembali??? Padahal saya tes game lain tidak begitu aneh,1
246,Siti Khusnul khotimah,Genshin impact gamenya benar benar sangat bagus! Dan kualitas nya yang tidak main main! Game genshin impact benar benar yang bagus dan tidak membuat saya bosan😁,5
247,Akun Utama,"Maksudnya gimana ? , saya disuruh update untuk versi 4.1 , pas udah selesai update data gamenya malah hilang semua , data gamenya harus download ulang , tolong dibenerin",1
248,itz_felicia canz,"Seruu bangett😀😀❤❤ i love it!! Story, Grafil, Quest, Hero, Skin dan lain lain nya bener bener baguss banget!! Kalian harus download ini!!",5
249,Danang Febrianto,"Game bagus grafik hd jalan cerita seru, awalnya pen main game ini cuman penasaran eh keterusan sekarang update lagi, sebenarnya maen game ini cuman pen ketemu hutao tapi enggak dapet hhe:v",5
250,Helmi Musyaffa,Tolong hadirkan fitur penghapusan data yang sudah tidak terpakai seperti data-data dari quest/event yang sudah di selesaikan. Supaya tidak terus memakan memory,5
251,Asraf 1,Ini game kok aneh banget ya pas mau main eh kok malah ngelag habis itu kita di suruh download data lagi yang lama itu padahal dulu udh pernah download kejadian ini udh saya alami 3 kali loh dan yang ketiga kali ini saya tidak ingin download lagi soalnya buang buang kuota banget jadi itu alasan saya kasih bintang satu dan jika masih kek gini lagi saya ga akan pernah main genshin lagi,1
252,Zann_ A,"Game nya udah bagus overall, dari grafik sudah memadai, backsound juga sudah bagus disaat momen yg tepat, tapi masalah nya koq lama kelamaan ini game bikin ngelag dan nguras baterai yg sangat banyak. Baru di mainin 10 menit, grafik sudah low walaupun hp ku ini sudah cukup melewati rata rata spek yg disarankan, hp ku baru main 10 menit dari baterai nya 100% jadi 78%, terus bikin panas, dan panas itu membuat hp ku ini semakin ngelag... Untuk developer tolong gamenya di kompres lebih ringan mb nya",4
253,Intan Ayu nuraeni,"Maaf nieh ya aku kasih bintang 4 padahal Game nya sih seruu dan bagus, cocok juga buat para anime lovers ..cuma pas download data tuh menguras kuota banget 🥲. Agak kecewa walau hasilnya memuaskan. Menurut aku sih klian kalo mau download datanya mending pake WiFi, soalnya kalo data sendiri boros. Gitu aja makasih... :)",4
254,Jeslyne Agurellia,"Jangan karena anniversary rating nya jadi 1 , grafik ny udh bagus , jalan ceritanya udh bagus , game nya udh gratis jug , semua udh bagus dan kalian masih blm puas jug ?",5
255,Denis Natanel,"game nya bagus grafik nya juga bagus, tapi kok sering banget sinyal nya ngelag padahal dh pakai wifi, tolong di perbaiki lagi 🙏🏻",4
256,Chendy Katang27,update baru-baru ini sangat mengecewakan sebab hampir sehari sekali setiap login harus diupdate trus. selain itu size update nya juga tergolong besar sekali,1
257,Sottang Yummy,"Update di PlayStore hny 500mb tp saat game update lgi 15Gb, tolong dong di pangkas. Buat pengguna HP terasa berat wlpun game-nya bgus.. Klo di unisntal sayang udh lv 30an..",4
258,POHON POHON,"Overall game ini bagus, cuma ping nya yang ga bagus always merah cui padahal sinyal bagus, buat main game lain juga ga masalah tapi buat main genshin malah ping merah dan juga sering dc pas lagi ada cutscane. Ini yang jadi masalah apa lagi cutscane nya lama dan dialog nya banyak pas lagi fokus dengerin dialog eh malah dc trus ngulang dari awal sangat mengganggu.",5
259,Aurelya aniza putri,"suka banget, secara keseluruhan bagus. mau dari segi grafik, story, karakter, dan gameplay nya bagus semuaa :DD",5
260,Hazel Zidan Setiawan,"Game ini sudah sangat bagus dan memiliki grafik yang indah ,tetapi saya pikir resin di game ini perlu di tambahkan lagi karena kebutuhan menjadi semakin banyak",4
261,Fazrie MulSyah,"Semuany sudah bagus, tapi! Tambahkan lagi untuk eventnya! Kurang menarik atau kurang menantang!",5
262,Dywaa.,"Game yang realistis dengan grafik yang teramat bagus serta desain karakter yang menawan dan rupawan sangat anggun dan elegan, namun sayang menurut saya game ini seakan akan enaknya dimainin di pc saja, dikarnakan main dimobile sangatlah berat + banyak bug, lag & ngeframe(fps drop), teruntuk smartphone yang biasa saja, bukan tipe gaming.",5
263,Matksm Play Game (Mat),"Saya sebagai player 1.0 mulai merasa bosan bermain genshin dikarenakan, ketika saya bermain honkai star rail saya merasa nyaman dan tidak begitu ribet, sekarang untuk menyelesaikan eksplore sampai 100% rasanya sudah tidak mampu, apakah kedepannya genshin bisa memunculkan fitur interactive maps seperti di hoyolab? Saya suka akan kesempurnaan dalam mengeksplore, tapi saya merasa terlalu ribet jika harus menandai item yg sudah didapatkan ke interactive map di hoyolab..",5
264,Ndraa06 Pro,"Game apa tau, gak bisa di mainin, padahal memo internal saya masih 20GB externaL saya masih 120GB, slalu memo tidak mencukupi, Uda ikutin cara di YouTube tetap aja sama memo tidak mencukup, RAM 4+4, Tapi gak bisa main asuh Game CODM aje penyimpanan sampe 17GB lancar jaya saya main",1
265,Yu Shin,Sangat seru karena luas dan mendapat kan aitem yang baru dan mendapat kan kebahagiaan sendiri aku suka karena open world saya sangat mempukaw atas gem yang di buat semoga ada ecifmen untuk mendapatkan karakter secara gratis,5
266,Tokatoteka Sakura,"Kepada hoyovers, yang membuat genshin pada zaman corona dan telah menemani ku di maraknya wabah corona. Haah...Sudah tak terasa genshin yang dulu dan sekarang, dulu genshin tidak seramai sekarang, walau ingin tetap bermain genshin taoi daya tidak mau memaksakan hp saya, saya mau download genshin cloud juga tidak sanggup kerena sinyal saya kecepatannya, KB dan kalau lagi bagus cuma bisa 300KB aj, oke kembali ke pesan selanjutnya. tanpa panjang kali lebar saya ucapkan TERIMAKASIH, from TokaNii.",5
267,アジズ,Gemnya cukup lumayan dari segi grafiknya efeknya beuh mantap sih cuman ya tau lah ya hp masih belum bisa maksimal untuk memainkannya,4
268,war robot Indonesia,"Gak ada keluhan sama sekali,cuma yang kurang saya suka, quest dunia yang gak bisa di skip,udah itu aja yang lain bagus semua gak ada kendala sama sekali👍",5
269,putri agya,"Bagus bgt si, tp ada beberapa bug dikit, seperti kita yg harus nya kena elemen seperti hydro itu selalu tidak dapat kena, dan saat melawan boss sering tiba² HP musuh itu terisi ulang lagi... untuk grafik, story, karakter, dll, udah bagus bgt si, kl udah diperbaiki bug nya saya akan memberi bintang 5 :)",4
270,Rizky Febriyan,"Grafik nya gak kek game sebelah yang inisial nya F,game nya gak nge bosenin,banyak monster yang harus dilawan,seru banget 😆",5
271,Iwan Catur Setiawan,"Game keren but update terusss, habis memory habis pulsa, karakter & senjata minim, game ni wajib top up agaknya",4
272,Revandis Juan,Untuk Mihoyo tolong update resinnya karena kami para player sangat susah mencarinya saat habis gak tau harus apa jadi tolong update resinnya biar player makin suka dan sering main,5
273,Vege Trunk,"G ada angin g ada ujan g bisa masuk ampe sejam lebih alasannya jaringan error, padahal jaringan full dirumah aneh.",1
274,Neysha Tsandrica,"Game ini bagus sekali bisa mabar sama teman cuman sayang nya jika internet lemot pastinya akan di suruh keluar , tapi saya suka dengan grafiknya terimakasih👏👏",5
